question,expected_answer,category
What is the cost of cataract surgery in Bangalore?,Cataract surgery in Bangalore is listed as an illustrative INR 45000 to INR 150000 range.,costs
Which eye hospitals are listed in Bangalore?,"The corpus lists Bangalore Eye Centre, Narayana Nethra Network, and Sankara Eye Services.",providers
What recovery guidance is available after cataract surgery?,"The corpus mentions early eye follow-up, warning symptoms, and clinician-directed recovery planning.",recovery
What should a caregiver ask before knee replacement travel?,"Ask about mobility limits, blood clot precautions, physiotherapy schedule, discharge planning, and return travel timing.",procedures
What are local stay cost estimates in Bangalore?,Serviced apartment estimates are INR 2500 to INR 8500 per night in the illustrative corpus.,travel
What urgent symptoms require immediate care?,"Chest pain, severe breathlessness, fainting, stroke-like symptoms, heavy bleeding, and sudden vision loss require immediate medical care.",risks
What planning is needed for cardiac bypass travel?,"The corpus mentions cardiology evaluation, ICU and ward recovery, cardiac rehabilitation, caregiver support, and longer local observation.",procedures
What documents should patients carry before medical travel?,"Prescriptions, allergy list, implant cards, recent test reports, and emergency contacts are listed.",risks
What does Synataric say about costs?,"Costs are illustrative estimates and depend on clinical, hospital, procedure, stay, complications, currency, and insurance factors.",policy
What provider profile details are available for Bangalore Eye Centre?,"The profile lists cataract evaluation, phacoemulsification, lens counseling, retina referrals, airport pickup partners, and nearby serviced apartments.",providers
